Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.7402 110 19 5 0 0 0 0 0 29.41
2 5.7174 53 10 1 0 0 0 0 0 9.27
3 4.2395 114 21 3 0 0 0 0 0 26.89
4 5.7186 152 28 4 0 0 0 0 0 26.58
5 4.1683 108 18 6 0 0 0 0 0 25.91
6 5.2275 54 9 3 0 0 0 0 0 10.33
7 4.5218 148 27 4 1 0 0 0 0 32.73
8 5.9752 53 10 1 0 0 0 0 0 8.87
9 3.6873 108 18 6 0 0 0 0 0 29.29
10 4.4672 109 20 3 0 0 0 0 0 24.40
11 2.7061 43 8 1 0 0 0 0 0 15.89
12 3.9699 58 11 1 0 0 0 0 0 14.61
13 3.9829 131 22 6 3 0 1 0 0 30.38
14 5.2465 116 22 2 0 0 0 0 0 22.11
15 2.4204 105 19 3 1 0 1 0 0 39.25
16 3.5055 58 11 1 0 0 0 2 0 10.84
17 3.6634 47 8 2 1 0 1 0 0 10.10
18 4.2707 53 10 1 0 0 0 0 0 12.41
19 5.1887 44 7 3 0 0 0 0 0 8.48
#150 Prothmann, Marcus
Division Production Class U Category Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2083 112 20 4 0 0 0 0 0 34.91
2 4.8757 51 9 2 0 0 0 0 0 10.46
3 4.1199 110 19 5 0 0 0 0 0 26.70
4 3.9941 145 26 5 0 0 1 0 0 33.80
5 3.5411 100 14 10 0 0 0 0 0 28.24
6 4.3141 50 7 5 0 0 0 0 0 11.59
7 4.2017 140 24 6 2 0 0 0 0 33.32
8 3.2754 49 8 3 0 0 0 0 0 14.96
9 3.1662 108 18 6 0 0 0 0 0 34.11
10 3.9898 109 20 3 0 0 0 0 0 27.32
11 2.0747 30 4 3 1 0 1 0 0 9.64
12 0.6118 41 7 2 0 0 3 0 0 17.98
13 4.3671 148 26 6 0 0 0 0 0 33.89
14 4.1284 108 18 6 0 0 0 0 0 26.16
15 1.9106 88 14 5 3 0 2 0 0 35.59
16 3.9764 54 9 3 0 0 0 0 0 13.58
17 4.2523 60 12 0 0 0 0 0 0 14.11
18 2.9733 49 8 3 0 0 0 0 0 16.48
19 3.8698 44 7 3 0 0 0 0 0 11.37
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 1 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#182 Kitzmann, Robert
Division Production Class U Category Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 0.0000 90 18 0 0 0 6 1 2 27.50
2 4.3640 47 7 4 0 0 0 0 0 10.77
3 2.3655 102 17 5 2 0 0 0 0 43.12
4 2.6092 136 26 2 0 0 4 0 1 32.96
5 3.3190 108 18 6 0 0 0 0 0 32.54
6 4.3408 54 9 3 0 0 0 0 0 12.44
7 3.7414 135 21 10 0 0 1 0 0 33.41
8 2.0935 40 7 1 2 0 1 0 0 14.33
9 2.5711 94 14 7 3 0 0 0 0 36.56
10 3.4415 105 19 3 1 0 0 0 0 30.51
11 4.0452 43 8 1 0 0 0 0 0 10.63
12 2.2116 47 7 4 0 0 1 0 0 16.73
13 2.6798 140 25 5 0 0 2 0 0 44.78
14 2.7620 98 16 6 0 0 2 1 0 24.62
15 1.8205 106 21 0 1 0 2 0 0 47.24
16 2.4390 41 4 7 0 0 1 0 0 12.71
17 2.5056 55 11 0 0 0 1 0 0 17.96
18 2.8608 45 7 3 1 0 0 0 0 15.73
19 3.9501 38 4 6 0 0 0 0 0 9.62
#183 Ernst, Christian
Division Optics Class U Category Senior Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2109 104 17 6 1 0 0 0 0 32.39
2 5.9920 45 7 3 1 0 0 0 0 7.51
3 4.1958 108 18 6 0 0 0 0 0 25.74
4 5.1668 144 26 4 2 0 0 0 0 27.87
5 3.7918 102 17 5 2 0 0 0 0 26.90
6 3.3627 42 4 7 1 0 0 0 0 12.49
7 4.5187 138 21 11 0 0 0 0 0 30.54
8 3.5294 51 9 2 0 0 0 0 0 14.45
9 3.7545 104 16 8 0 0 0 0 0 27.70
10 3.6803 105 18 5 0 0 0 0 0 28.53
11 0.7617 27 4 2 1 0 2 0 0 9.19
12 4.6358 56 10 2 0 0 0 0 0 12.08
13 4.1032 140 25 4 3 0 0 0 0 34.12
14 5.1068 110 19 5 0 0 0 0 0 21.54
15 2.5303 94 13 9 2 0 0 0 0 37.15
16 4.2435 46 7 3 2 0 0 0 0 10.84
17 4.7660 56 10 2 0 0 0 0 0 11.75
18 2.8833 41 4 7 0 0 0 0 0 14.22
19 4.4527 48 9 1 0 0 0 0 0 10.78
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 2 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#187 Jansson, Bosse
Division Open Class U Category S. Senior Factor Major Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.5346 120 24 0 0 0 0 0 0 33.95
2 6.6085 53 9 2 0 0 0 0 0 8.02
3 5.4731 118 22 2 0 0 0 0 0 21.56
4 4.7546 156 28 4 0 0 0 0 0 32.81
5 3.7940 112 18 5 1 0 0 0 0 29.52
6 4.7500 57 9 3 0 0 0 0 0 12.00
7 3.8069 153 25 7 0 0 0 0 0 40.19
8 5.2993 54 10 1 0 0 0 0 0 10.19
9 2.6770 118 22 2 0 0 0 0 0 44.08
10 4.7023 109 19 3 1 0 0 0 0 23.18
11 5.2478 36 4 3 2 0 0 0 0 6.86
12 4.8046 59 11 1 0 0 0 0 0 12.28
13 4.3589 154 26 6 0 0 0 0 0 35.33
14 5.0343 110 14 10 0 0 0 0 0 21.85
15 2.2498 116 20 4 0 0 0 0 0 51.56
16 4.1399 58 10 2 0 0 0 0 0 14.01
17 44.6970 59 11 1 0 0 0 0 0 1.32
18 2.6970 51 7 4 0 0 0 0 0 18.91
19 4.5771 46 6 4 0 0 0 0 0 10.05
#201 Otto, Michael
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1368 100 16 6 2 0 0 0 0 31.88
